Editorial,Genero,Plataforma,Nombre,Plataforma,Región,Venta Millones
10TACLE Studios,Adventure,PS2,Pirates: Legend of the Black Buccaneer,PS2,Europa,"$0,01"
10TACLE Studios,Adventure,PS2,Pirates: Legend of the Black Buccaneer,PS2,Japón,$0
10TACLE Studios,Adventure,PS2,Pirates: Legend of the Black Buccaneer,PS2,Norte América,"$0,01"
10TACLE Studios,Adventure,PS2,Pirates: Legend of the Black Buccaneer,PS2,Otros,$0
10TACLE Studios,Puzzle,DS,Boulder Dash: Rocks!,DS,Europa,"$0,03"
10TACLE Studios,Puzzle,DS,Boulder Dash: Rocks!,DS,Japón,$0
10TACLE Studios,Puzzle,DS,Boulder Dash: Rocks!,DS,Norte América,$0
10TACLE Studios,Puzzle,DS,Boulder Dash: Rocks!,DS,Otros,$0
10TACLE Studios,Strategy,DS,Panzer Tactics,DS,Europa,$0
10TACLE Studios,Strategy,DS,Panzer Tactics,DS,Japón,$0
10TACLE Studios,Strategy,DS,Panzer Tactics,DS,Norte América,"$0,06"
10TACLE Studios,Strategy,DS,Panzer Tactics,DS,Otros,$0
1C Company,Racing,PC,Off-Road Drive,PC,Europa,"$0,03"
1C Company,Racing,PC,Off-Road Drive,PC,Japón,$0
1C Company,Racing,PC,Off-Road Drive,PC,Norte América,$0
1C Company,Racing,PC,Off-Road Drive,PC,Otros,"$0,01"
1C Company,Role-Playing,PC,King's Bounty: Armored Princess,PC,Europa,"$0,01"
1C Company,Role-Playing,PC,King's Bounty: Armored Princess,PC,Japón,$0
1C Company,Role-Playing,PC,King's Bounty: Armored Princess,PC,Norte América,$0
1C Company,Role-Playing,PC,King's Bounty: Armored Princess,PC,Otros,$0
1C Company,Strategy,PC,Men of War: Assault Squad,PC,Europa,"$0,03"
1C Company,Strategy,PC,Men of War: Assault Squad,PC,Japón,$0
1C Company,Strategy,PC,Men of War: Assault Squad,PC,Norte América,"$0,01"
1C Company,Strategy,PC,Men of War: Assault Squad,PC,Otros,"$0,01"
20th Century Fox Video Games,Action,2600,Alien,2600,Europa,"$0,04"
20th Century Fox Video Games,Action,2600,Alien,2600,Japón,$0
20th Century Fox Video Games,Action,2600,Alien,2600,Norte América,"$0,74"
20th Century Fox Video Games,Action,2600,Alien,2600,Otros,"$0,01"
20th Century Fox Video Games,Action,2600,Bank Heist,2600,Europa,"$0,02"
20th Century Fox Video Games,Action,2600,Bank Heist,2600,Japón,$0
20th Century Fox Video Games,Action,2600,Bank Heist,2600,Norte América,"$0,32"
20th Century Fox Video Games,Action,2600,Bank Heist,2600,Otros,$0
20th Century Fox Video Games,Action,2600,Fantastic Voyage,2600,Europa,"$0,02"
20th Century Fox Video Games,Action,2600,Fantastic Voyage,2600,Japón,$0
20th Century Fox Video Games,Action,2600,Fantastic Voyage,2600,Norte América,"$0,32"
20th Century Fox Video Games,Action,2600,Fantastic Voyage,2600,Otros,$0
20th Century Fox Video Games,Action,2600,Porky's,2600,Europa,"$0,01"
20th Century Fox Video Games,Action,2600,Porky's,2600,Japón,$0
20th Century Fox Video Games,Action,2600,Porky's,2600,Norte América,"$0,23"
20th Century Fox Video Games,Action,2600,Porky's,2600,Otros,$0
20th Century Fox Video Games,Shooter,2600,Deadly Duck,2600,Europa,"$0,01"
20th Century Fox Video Games,Shooter,2600,Deadly Duck,2600,Japón,$0
20th Century Fox Video Games,Shooter,2600,Deadly Duck,2600,Norte América,"$0,21"
20th Century Fox Video Games,Shooter,2600,Deadly Duck,2600,Otros,$0
2D Boy,Puzzle,PC,World of Goo,PC,Europa,"$0,03"
2D Boy,Puzzle,PC,World of Goo,PC,Japón,$0
2D Boy,Puzzle,PC,World of Goo,PC,Norte América,$0
2D Boy,Puzzle,PC,World of Goo,PC,Otros,"$0,01"
3DO,Action,PS,Army Men 3D,PS,Europa,"$0,14"
3DO,Action,PS,Army Men 3D,PS,Japón,$0
3DO,Action,PS,Army Men 3D,PS,Norte América,"$1,1"
3DO,Action,PS,Army Men 3D,PS,Otros,"$0,04"
3DO,Action,PS,Army Men World War: Final Front,PS,Europa,"$0,17"
3DO,Action,PS,Army Men World War: Final Front,PS,Japón,$0
3DO,Action,PS,Army Men World War: Final Front,PS,Norte América,"$0,24"
3DO,Action,PS,Army Men World War: Final Front,PS,Otros,"$0,03"
3DO,Action,PS,"Army Men World War: Land, Sea, Air",PS,Europa,"$0,12"
